id,teff,logg,feh,alpha
spec-56592-HD003103N554209B01_sp02-075.fits,4254.28,1.50223,-0.512897,0.0651824
spec-56592-HD003103N554209V01_sp05-086.fits,4723.29,2.44557,0.0768772,0.0703745
spec-56592-HD003103N554209B01_sp03-008.fits,5025.07,3.08234,-0.286898,0.064651
spec-56592-HD003103N554209B01_sp01-026.fits,4753.19,2.63023,0.0798577,0.0835119
spec-56592-HD003103N554209B01_sp05-208.fits,4679.44,2.24495,-0.0154693,0.0812968
spec-56592-HD003103N554209V01_sp04-024.fits,4717.91,2.86894,0.0803652,0.0770806
spec-56592-HD003103N554209V01_sp05-046.fits,4847.97,2.55872,-0.109464,0.0642727
spec-56592-HD003103N554209B01_sp04-014.fits,4935.67,2.86221,-0.767684,0.220748
spec-56592-HD003103N554209B01_sp04-131.fits,4966.47,2.7209,-0.183463,0.0803687
spec-56592-HD003103N554209V01_sp04-022.fits,4605.49,2.3151,-0.111661,0.00875728
spec-56592-HD003103N554209B01_sp04-042.fits,5111.88,3.13731,-0.256067,0.0985512
spec-56592-HD003103N554209B01_sp11-097.fits,4913.85,2.58951,0.014488,0.102124
spec-56592-HD003103N554209B01_sp04-132.fits,4973.34,2.94536,-0.516631,0.109259
spec-56592-HD003103N554209B01_sp01-052.fits,5004.54,2.64141,-0.281899,0.117159
spec-56592-HD003103N554209V01_sp04-016.fits,4812.89,2.7379,0.191047,0.036003
spec-56592-HD003103N554209V01_sp04-141.fits,5081.88,3.02497,0.00554152,0.029349
spec-56592-HD003103N554209V01_sp01-054.fits,4561.44,2.05631,-0.177568,0.0848148
spec-56592-HD003103N554209V01_sp05-174.fits,4248.0,1.64138,-0.264716,0.157704
spec-56592-HD003103N554209V01_sp04-175.fits,4810.1,2.69091,-0.0373418,0.0464347
spec-56592-HD003103N554209B01_sp01-029.fits,4757.27,2.75147,0.194369,0.0657925
spec-56592-HD003103N554209B01_sp11-185.fits,4988.59,2.643,-0.343364,0.0844231
spec-56592-HD003103N554209V01_sp05-160.fits,5033.54,2.70128,-0.281438,0.118443
spec-56592-HD003103N554209B01_sp05-079.fits,5029.85,2.58666,-0.348643,0.0816841
spec-56592-HD003103N554209V01_sp04-144.fits,5051.78,3.39793,-0.229245,0.065792
spec-56592-HD003103N554209V01_sp04-138.fits,4122.72,1.32088,-0.143943,0.00944929
spec-56592-HD003103N554209B01_sp11-094.fits,4889.33,2.64494,0.0297137,0.0636555
spec-56592-HD003103N554209B01_sp04-007.fits,5210.84,3.82179,0.0277223,0.0684444
spec-56592-HD003103N554209B01_sp01-046.fits,5060.85,3.06592,-0.477881,0.110286
spec-56592-HD003103N554209V01_sp11-189.fits,5086.06,2.96509,-0.025196,0.0520674
spec-56592-HD003103N554209V01_sp01-220.fits,5124.93,2.96635,-0.0695343,0.0451654
spec-56592-HD003103N554209V01_sp11-230.fits,5041.61,2.93555,0.0882013,0.0197711
spec-56592-HD003103N554209V01_sp05-080.fits,4831.22,2.99315,0.00482249,0.0677742
spec-56592-HD003103N554209V01_sp05-085.fits,4905.27,2.68383,-0.198872,0.0729607
spec-56592-HD003103N554209B01_sp11-207.fits,4603.0,2.30597,-0.0235297,0.0381112
spec-56592-HD003103N554209V01_sp11-204.fits,4908.16,3.28878,-0.204171,0.111477
spec-56592-HD003103N554209B01_sp01-167.fits,4791.56,2.4474,-0.238827,0.261757
spec-56592-HD003103N554209V01_sp05-147.fits,4281.98,1.57352,-0.418168,0.100917
spec-56592-HD003103N554209B01_sp01-152.fits,5019.39,2.52712,-0.288794,0.173386
spec-56592-HD003103N554209V01_sp11-244.fits,4434.67,1.97521,-0.460689,0.183359
spec-56592-HD003103N554209B01_sp04-036.fits,5217.52,3.60847,-0.36701,0.0806627
spec-56592-HD003103N554209B01_sp01-208.fits,4945.54,2.61837,-0.278366,0.131045
spec-56592-HD003103N554209B01_sp11-215.fits,4924.51,2.46839,-0.433493,0.182645
spec-56592-HD003103N554209B01_sp01-218.fits,4967.56,3.09158,-0.278452,0.0916644
spec-56592-HD003103N554209B01_sp11-181.fits,4865.61,2.78181,-0.190745,0.0863994
spec-56592-HD003103N554209B01_sp01-210.fits,4983.51,2.70961,-0.158647,0.0798036
spec-56592-HD003103N554209V01_sp01-153.fits,4858.63,2.66387,0.0447809,0.0403828
spec-56592-HD003103N554209V01_sp11-103.fits,4845.78,2.60856,-0.123186,0.0460712
spec-56592-HD003103N554209B01_sp04-063.fits,4775.31,2.87111,0.16597,0.0653523
spec-56592-HD003103N554209V01_sp01-214.fits,4829.23,2.95528,-0.015447,0.0865813
spec-56592-HD003103N554209B01_sp01-154.fits,4671.76,2.89084,0.395519,0.0744636
spec-56592-HD003103N554209V01_sp01-096.fits,4618.05,2.53762,0.159646,0.0606112
spec-56592-HD003103N554209B01_sp01-149.fits,4886.34,3.33349,0.383137,0.0633467
spec-56592-HD003103N554209V01_sp01-145.fits,4928.1,2.64893,-0.227114,0.0840107
spec-56592-HD003103N554209B01_sp05-022.fits,4102.89,1.28747,-0.462205,0.0488101
spec-56592-HD003103N554209V01_sp04-065.fits,5141.08,2.84009,-0.186206,0.0970321
spec-56592-HD003103N554209V01_sp04-062.fits,4872.88,2.69433,-0.263381,0.0852954
spec-56641-HD002951N381926V01_sp11-042.fits,4333.01,1.74186,-0.132714,0.0954082
spec-56592-HD003103N554209V01_sp11-118.fits,4502.34,2.43234,0.2237,0.0356545
spec-56592-HD003103N554209V01_sp01-141.fits,4304.9,1.86184,-0.281325,0.21081
spec-56592-HD003103N554209B01_sp01-085.fits,4867.4,2.74896,-0.141725,0.0366147
spec-56592-HD003103N554209V01_sp01-143.fits,4947.73,2.87191,0.383156,0.0566783
spec-56592-HD003103N554209B01_sp01-083.fits,4919.43,3.05143,-0.0608957,0.217963
spec-56592-HD003103N554209B01_sp05-106.fits,4710.23,2.67003,0.0458171,0.0859854
spec-56592-HD003103N554209V01_sp05-107.fits,4210.82,1.78474,0.0359156,0.0312738
spec-56592-HD003103N554209B01_sp04-064.fits,4961.19,2.78306,-0.214077,0.224694
spec-56592-HD003103N554209V01_sp01-097.fits,4679.44,2.43599,-0.274984,0.0768748
spec-56592-HD003103N554209B01_sp11-104.fits,5161.21,3.00341,-0.238697,0.101152
spec-56592-HD003103N554209V01_sp04-100.fits,5112.57,3.45427,-0.132669,0.0697908
spec-56609-HD004201N404117V01_sp14-068.fits,4384.14,1.66396,-0.257975,0.138622
spec-56592-HD003103N554209B01_sp05-132.fits,4608.08,2.21815,-0.395257,0.137012
spec-56592-HD003103N554209B01_sp04-054.fits,4728.37,2.57719,-0.239787,0.104235
spec-56592-HD003103N554209B01_sp04-101.fits,4816.27,2.62818,-0.0139826,0.065081
spec-56592-HD003103N554209B01_sp04-229.fits,4727.58,2.58632,-0.0880218,0.0574377
spec-56592-HD003103N554209B01_sp05-123.fits,4779.8,2.62772,0.0763096,0.0437021
spec-56592-HD003103N554209V01_sp04-205.fits,4820.26,2.59293,-0.280073,0.0997578
spec-56592-HD003103N554209V01_sp04-096.fits,4586.95,2.37361,0.107779,0.0165183
spec-56592-HD003103N554209B01_sp04-068.fits,4443.04,1.99563,-0.618634,0.131464
spec-56592-HD003103N554209V01_sp04-233.fits,4307.1,1.64309,-0.270064,0.0628496
spec-56592-HD003103N554209V01_sp08-177.fits,4733.85,2.73938,0.207668,0.0285297
spec-56592-HD003103N554209B01_sp11-029.fits,5778.52,3.82249,-0.218357,0.106057
spec-56592-HD003103N554209B01_sp08-153.fits,4733.26,2.56887,0.0107951,0.073122
spec-56592-HD003103N554209B01_sp04-233.fits,4689.5,2.61506,0.0804857,0.0946961
spec-56592-HD003103N554209V01_sp08-154.fits,4355.93,1.8493,-0.210271,0.055656
spec-56592-HD003103N554209B01_sp11-027.fits,4968.16,2.60924,-0.319999,0.103002
spec-56592-HD003103N554209V01_sp01-194.fits,4933.98,2.95209,-0.160778,0.0797076
spec-56592-HD003103N554209V01_sp08-165.fits,4184.31,1.58982,-0.282383,0.174818
spec-56641-HD002951N381926V01_sp12-099.fits,4963.48,3.35596,0.0806398,0.0558279
spec-56592-HD003103N554209B01_sp11-030.fits,5055.77,2.82674,-0.197484,0.0835758
spec-56592-HD003103N554209B01_sp01-117.fits,4994.37,2.60491,-0.365283,0.172954
spec-56592-HD003103N554209B01_sp11-034.fits,4449.32,1.79775,-0.336175,0.0943057
spec-56592-HD003103N554209V01_sp01-103.fits,4855.54,2.64289,-0.120504,0.0633611
spec-56592-HD003103N554209V01_sp08-198.fits,4875.57,2.67026,0.192989,0.0466889
spec-56592-HD003103N554209V01_sp08-166.fits,4604.09,2.46394,-0.250749,0.080695
spec-56592-HD003103N554209B01_sp08-173.fits,4770.53,2.61654,0.121795,0.0659462
spec-56592-HD003103N554209V01_sp04-235.fits,4659.9,2.42288,-0.237799,0.048469
spec-56592-HD003103N554209V01_sp08-188.fits,4939.06,2.54104,-0.354935,0.114223
spec-56592-HD003103N554209V01_sp09-025.fits,4950.82,2.89529,-0.0202632,0.0207679
spec-56592-HD003103N554209V01_sp08-184.fits,4792.26,2.50625,-0.251209,0.0908125
spec-56592-HD003103N554209V01_sp08-159.fits,4922.22,3.02714,-0.431341,0.0896658
spec-56592-HD003103N554209V01_sp08-209.fits,4127.21,1.1092,-0.614474,0.088007
spec-56592-HD003103N554209V01_sp08-199.fits,4175.04,1.44931,-0.128678,0.0524385
spec-56592-HD003103N554209B01_sp08-183.fits,4895.61,2.57411,-0.328529,0.100473
spec-56592-HD003103N554209V01_sp12-236.fits,4842.49,2.61403,-0.0680408,0.042011
spec-56592-HD003103N554209B01_sp08-030.fits,4874.38,2.6373,-0.144238,0.0558703
spec-56592-HD003103N554209V01_sp08-206.fits,4683.62,2.57696,-0.262442,0.0830712
spec-56592-HD003103N554209V01_sp08-161.fits,4224.58,1.459,-0.310507,0.0576375
spec-56592-HD003103N554209B01_sp08-024.fits,5302.23,3.80969,0.186215,0.0463542
spec-56592-HD003103N554209V01_sp08-230.fits,4694.49,2.41592,-0.383529,0.0671958
spec-56592-HD003103N554209B01_sp09-023.fits,5015.8,3.19058,0.0582118,0.0296951
spec-56592-HD003103N554209V01_sp01-198.fits,4613.16,2.34076,-0.0608531,0.0455043
spec-56592-HD003103N554209B01_sp12-072.fits,4830.23,2.7298,-0.38803,0.0729823
spec-56592-HD003103N554209V01_sp01-182.fits,4379.45,1.94647,0.008235,0.0543846
spec-56592-HD003103N554209V01_sp08-236.fits,4861.12,2.9132,-0.255964,0.0949706
spec-56592-HD003103N554209V01_sp08-009.fits,4335.7,1.78417,-0.0936359,0.0441437
spec-56592-HD003103N554209V01_sp08-217.fits,4869.89,2.70813,-0.102767,0.0393586
spec-56592-HD003103N554209V01_sp09-010.fits,4596.92,2.44945,-0.430027,0.207779
spec-56592-HD003103N554209V01_sp08-033.fits,5005.63,3.10994,-0.267458,0.050479
spec-56592-HD003103N554209B01_sp08-247.fits,4924.21,3.20814,0.1678,0.100137
spec-56592-HD003103N554209B01_sp07-039.fits,4961.38,2.71771,-0.353065,0.124889
spec-56592-HD003103N554209V01_sp08-219.fits,4224.38,1.38841,-0.400228,0.127692
spec-56592-HD003103N554209V01_sp08-107.fits,4810.79,2.62943,-0.00805101,0.0438223
spec-56592-HD003103N554209V01_sp08-038.fits,5115.46,3.26312,-0.200018,0.0516619
spec-56592-HD003103N554209B01_sp12-247.fits,4653.33,2.52918,0.363906,0.0556896
spec-55886-M31_004437N404045_B2_sp14-082.fits,4931.09,3.08006,-0.0287821,0.11362
spec-56592-HD003103N554209V01_sp09-021.fits,5077.39,3.04778,0.0553614,0.0102957
spec-56592-HD003103N554209V01_sp08-215.fits,4220.79,1.48398,-0.199187,0.0476413
spec-56592-HD003103N554209B01_sp09-008.fits,5030.65,3.30931,-0.0245175,0.0668515
spec-56592-HD003103N554209V01_sp08-235.fits,4763.75,2.52541,-0.273192,0.0967871
spec-56592-HD003103N554209B01_sp08-244.fits,4899.39,3.21111,-0.451048,0.269051
spec-56592-HD003103N554209B01_sp08-032.fits,4621.04,2.72227,0.254402,0.0474221
spec-56592-HD003103N554209B01_sp08-250.fits,4998.66,2.65908,-0.462445,0.136854
spec-56592-HD003103N554209B01_sp08-108.fits,4601.0,2.30244,-0.1426,0.169433
spec-56592-HD003103N554209V01_sp07-162.fits,4641.17,2.32787,0.0361662,0.0421926
spec-56592-HD003103N554209V01_sp08-043.fits,4923.91,2.70094,-0.297677,0.0975963
spec-56592-HD003103N554209V01_sp09-024.fits,4740.13,2.68155,0.0579296,0.0616898
spec-56592-HD003103N554209B01_sp07-107.fits,4892.12,3.00011,0.200738,0.0281428
spec-56592-HD003103N554209B01_sp08-050.fits,5053.07,3.12648,-0.436523,0.0857873
spec-56592-HD003103N554209B01_sp12-242.fits,5069.02,2.69992,-0.323447,0.0991515
spec-56592-HD003103N554209V01_sp08-112.fits,4275.4,1.66077,-0.142644,0.0660868
spec-56592-HD003103N554209V01_sp07-108.fits,4851.85,3.03672,0.302291,0.0432987
spec-56592-HD003103N554209B01_sp08-106.fits,5287.08,3.67018,0.146193,0.0593314
spec-56592-HD003103N554209B01_sp09-015.fits,5162.5,3.36839,0.0360848,0.00572497
spec-56592-HD003103N554209B01_sp07-108.fits,5209.84,3.65079,-0.162016,0.224896
spec-56592-HD003103N554209V01_sp08-237.fits,4952.31,2.82731,-0.00100013,0.0650508
spec-56592-HD003103N554209B01_sp07-101.fits,4797.74,2.4393,-0.178114,0.0570482
spec-55886-M31_004437N404045_B2_sp03-088.fits,4123.52,0.811176,-1.3556,0.166054
spec-56592-HD003103N554209B01_sp07-023.fits,4409.75,1.99084,-0.0370773,0.0631682
spec-56592-HD003103N554209V01_sp08-143.fits,4432.27,1.96769,-0.304651,0.0987718
spec-56592-HD003103N554209B01_sp07-102.fits,5149.45,3.50411,0.290329,0.00802086
spec-56592-HD003103N554209B01_sp08-069.fits,5031.15,3.27806,-0.173381,0.121505
spec-56592-HD003103N554209B01_sp08-128.fits,5182.74,3.30235,-0.296552,0.118416
spec-56592-HD003103N554209V01_sp07-115.fits,4940.85,2.9311,-0.380776,0.0876334
spec-56582-VB012N41V2_sp10-061.fits,4669.57,2.48823,0.226168,0.0483421
spec-56592-HD003103N554209V01_sp08-148.fits,4759.27,2.44341,-0.266391,0.102655
spec-56592-HD003103N554209B01_sp07-019.fits,4767.24,2.55575,-0.212128,0.064357
spec-56592-HD003103N554209B01_sp07-063.fits,4692.89,2.44968,0.031625,0.0798411
spec-56592-HD003103N554209B01_sp07-058.fits,4793.85,2.19591,-0.66313,0.0679202
spec-56592-HD003103N554209V01_sp06-025.fits,4563.73,2.178,0.245929,0.0205961
spec-56582-VB012N41V2_sp10-220.fits,4998.86,2.66912,-0.381404,0.18226
spec-56609-HD004201N404117V01_sp15-119.fits,4722.59,2.96464,0.160212,0.118633
spec-56582-VB012N41V1_sp14-086.fits,4996.47,3.23996,0.0481959,0.0484429
spec-55886-M31_004437N404045_B2_sp04-033.fits,-9999.0,-9999.0,-9999.0,-9999.0
spec-56266-M31007N41B2_sp06-063.fits,3971.93,0.684006,-1.63062,0.137923
spec-56609-HD004201N404117V01_sp04-093.fits,4914.54,2.9546,-0.388897,0.149386
spec-56629-HD004932N440333B01_sp02-140.fits,4940.16,2.98117,-0.421654,0.244624
spec-55863-M31_011N40_B1_sp15-180.fits,4226.57,2.31806,-1.44388,0.167953
spec-56582-VB012N41V1_sp03-211.fits,4787.77,2.72273,-0.221538,0.0640787
spec-56582-VB012N41V1_sp16-157.fits,4435.76,2.25545,-0.251728,0.20377
spec-56266-M31007N41B1_sp06-074.fits,-9999.0,-9999.0,-9999.0,-9999.0
spec-56582-VB012N41V1_sp05-181.fits,4688.81,2.93145,-0.152514,0.188885
spec-55863-M31_011N40_B1_sp15-102.fits,-9999.0,-9999.0,-9999.0,-9999.0
spec-56629-HD004932N440333B01_sp01-047.fits,4287.36,2.13056,-1.3753,0.223938
spec-56582-VB012N41V1_sp04-171.fits,4531.24,2.35387,0.300665,0.053935
spec-56609-HD004201N404117V01_sp08-043.fits,4682.83,2.47865,0.166214,0.0195908
spec-56609-HD004201N404117V01_sp12-086.fits,4628.61,2.10706,-0.510547,0.106647
spec-56582-VB012N41V1_sp05-028.fits,4826.54,2.49279,-0.376414,0.291608
spec-55886-M31_004437N404045_B2_sp12-096.fits,4006.51,0.835014,-0.775997,0.0765706
spec-56265-EG012217N184057B01_sp05-093.fits,4603.4,2.04296,-1.33175,0.28584
spec-56265-EG012217N184057B01_sp05-089.fits,4847.37,3.33121,-0.0045986,0.136352
spec-56265-EG012217N184057B01_sp01-054.fits,4697.38,2.77599,0.130842,0.0670339
spec-56265-EG012217N184057B01_sp01-029.fits,4893.91,2.98414,-0.492303,0.304407
spec-56265-EG012217N184057B01_sp01-050.fits,4944.44,2.68691,-0.404616,0.109084
spec-56265-EG012217N184057B01_sp01-051.fits,4822.06,2.60012,-0.450044,0.106592
spec-56265-EG012217N184057B01_sp01-220.fits,4967.56,3.15397,-0.313672,0.118992
spec-56265-EG012217N184057B01_sp05-098.fits,5287.68,3.66789,-0.142583,0.0606382
spec-56265-EG012217N184057B01_sp01-157.fits,4766.64,2.60856,-0.425061,0.116178
spec-56265-EG012217N184057B01_sp05-014.fits,4868.6,2.29844,-1.29272,0.268047
spec-56265-EG012217N184057B01_sp01-145.fits,4663.59,2.65464,-0.547494,0.267828
spec-56265-EG012217N184057B01_sp05-128.fits,4910.96,3.18043,0.0864238,0.048312
spec-56265-EG012217N184057B01_sp05-104.fits,5099.02,3.49864,-0.122401,0.0607127
spec-56265-EG012217N184057B01_sp01-014.fits,4913.15,2.61711,-0.381054,0.0894335
spec-56265-EG012217N184057B01_sp01-022.fits,4730.17,2.81534,0.00383039,0.117015
spec-56265-EG012217N184057B01_sp05-141.fits,4712.33,2.61301,-0.345888,0.0966621
spec-56265-EG012217N184057B01_sp04-087.fits,4864.51,3.18989,0.0828354,0.0646277
spec-56265-EG012217N184057B01_sp01-013.fits,4578.38,2.48321,-0.0484059,0.136669
spec-56265-EG012217N184057B01_sp05-006.fits,4825.24,2.61483,-0.387836,0.233512
spec-56265-EG012217N184057B01_sp04-081.fits,5050.58,2.99554,-1.27621,0.13586
spec-56265-EG012217N184057B01_sp01-103.fits,4773.02,2.81705,-0.481747,0.227847
spec-56265-EG012217N184057B01_sp07-044.fits,4819.96,2.92323,-0.42179,0.239843
spec-56265-EG012217N184057B01_sp08-024.fits,5053.87,3.60779,0.173861,0.0609947
spec-56265-EG012217N184057B01_sp08-004.fits,4659.01,2.64802,-0.141229,0.11521
spec-56265-EG012217N184057B01_sp08-021.fits,4813.38,2.64996,-0.0899351,0.0699449
spec-56265-EG012217N184057B01_sp01-196.fits,4268.23,1.49835,-0.294672,0.0785786
